adrienctx, -100.0;-1000.0;5.0, -100.0;-1000.0;19.0, -100.0;-1000.0;10.0, -100.0;-1000.0;19.0, 1.0;1.0;55.0, -100.0;-1000.0;13.0, 1.0;1.0;57.0, 1.0;1.0;58.0, 1.0;1.0;107.0, -100.0;-1000.0;4.0
asd592, 1.0;1.0;38.0, 1.0;1.0;39.0, 1.0;1.0;39.0, 1.0;1.0;39.0, 1.0;1.0;38.0, 1.0;1.0;39.0, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0
combination, 1.0;1.0;38.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;0.0;1000.0
Jamie_Hutchison, 1.0;1.0;716.0, 1.0;1.0;718.0, 1.0;1.0;721.0, 1.0;1.0;725.0, 1.0;1.0;718.0, 1.0;1.0;724.0, 1.0;1.0;713.0, 1.0;1.0;714.0, 1.0;1.0;715.0, 1.0;1.0;727.0
MaastCTS2, -100.0;-1000.0;17.0, 1.0;1.0;38.0, 1.0;1.0;46.0, 1.0;1.0;38.0, 1.0;1.0;38.0, -100.0;-1000.0;13.0, 1.0;1.0;38.0, -100.0;-1000.0;20.0, -100.0;-1000.0;3.0, -100.0;-1000.0;0.0
NovelTS, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0
Number27, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0, 1.0;1.0;38.0
RegyN, 1.0;1.0;304.0, 1.0;1.0;349.0, 1.0;1.0;328.0, 1.0;1.0;206.0, 1.0;1.0;713.0, 1.0;1.0;897.0, 1.0;1.0;358.0, 1.0;1.0;505.0, 1.0;1.0;634.0, 1.0;1.0;177.0
UrbanSk, 1.0;1.0;347.0, 0.0;0.0;1000.0, 1.0;1.0;199.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 1.0;1.0;165.0, 1.0;1.0;347.0, 1.0;1.0;447.0, 0.0;0.0;1000.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
